Sheet: Cost ($)
Subtotal,Service Items,scdhhs-onbase-upper,scdhhs-mes-upper,scdhhs-eps-lower,scdhhs-mes-networking,scdhhs-eps-upper,scdhhs-onbase-lower,scdhhs-mes-lower,scdhhs-mes-audit,scdhhs-mes-shared,scdhhs-cbs-sandbox,scdhhs-mes-bastion,mes-aws-sharedservices,scdhhs-mes-upper-fhir,scdhhs-mes-lower-edi,scdhhs-mes-upper-edi,scdhhs-mes-lower-fhir,MES_AWS_PRD,Total
Direct Charges (105),,9125.786645599757,4767.9414920885,1915.1083470886003,881.1640774023001,1108.4914735631999,1164.4511194464003,1058.6048249704997,602.9671457463003,196.3506606377,85.70323039910001,4.489754953699999,0.0010837940000000001,0.6729885142,0.5380996879000001,0.47090515290000007,0.31027890580000006,0.0011918939,20913.053319844752
,EBS - PIOPs Storage,44.50268813079997,,,,,,,,,,,,,,,,,44.50268813079997
,EBS - Storage,474.03569910080057,141.29892477520002,15.4892473134,44.472634407399994,48.13225807699999,17.8473118434,28.361505390399987,0.9247311852000002,5.363440869000001,0.6935483846,,,,,,,,776.6193013464007
,EC2 - Application Load Balancer Usage,,12.419999999999998,4.140479093899999,,8.283413563499998,,6.209999999999998,,,,,,,,,,,31.05389265739999
,EC2 - Application Load Balancer Transfer,,,0.0006788914,,,,,,,,,,,,,,,0.0006788914
,EC2 - Compute,1748.6968890959993,225.9031463772,83.4954081328,204.89294769699998,181.32681875319997,136.1297041762,64.18734714229998,,55.903796342,,,,,,,,,2700.5360577166994
,EC2 - EBS Surcharge,0,0,,0,0,0,0,,,,,,,,,,,0
,EC2 - Classic Load Balancer Usage,,,4.6000000000000005,19.3973800929,,,,,,,,,,,,,,23.997380092900002
,EC2 - Classic Load Balancer Transfer,,,0.0005540997999999999,5.7692574185000005,,,,,,,,,,,,,,5.769811518300001
,EC2 - Network Load Balancer Usage,8.128518933899999,12.420146625999998,2.0699999999999994,31.1135596163,4.139999999999999,2.0699999999999994,6.209999999999998,,,,,,,,,,,66.15222517619999
,EC2 - Network Load Balancer Transfer,0.9244138644,0.0007620303000000001,,1.6560518357,,0,,,,,,,,,,,,2.5812277304
,EC2 - EBS Snapshot,2134.123717571745,508.1814103788001,6.006175576600006,20.534951094999983,11.344439994899991,61.7338171659003,7.366125979899999,,3.7354317294999992,,,,,,,,,2753.0260694923454
,EC2 - Transfer,8.879472530700005,0.6993163812,0.0002260245,18.4279755216,0.0002252615,0.7905831515000001,0.017293173,,0.009046616,,,,,,,,,28.824138660000003
,EC2 - NAT Gateway Transfer,0.0000073029,18.096470256299998,0.4135434388,7.5786919235999965,-1.0000006378518833e-10,0.000002435600000000001,0.0005730634000000001,0.23007199430000005,0.0144494892,,,,,,,,,26.333809903999995
,EC2 - NAT Gateway Usage,12.464999999999998,49.54499999999998,8.144999999999989,49.68,0,4.140000000000001,66.375,8.055,4.139999999999999,,,,,,,,,202.54499999999996
,S3 - API,1.3834942,14.958627415499992,0.016384399999999983,0.019200400000000006,0.0384636,0.010332000000000001,0.03662554209999977,33.57349060879995,0.011952148399999984,0.0016204840000000006,0.0013148,0.000956,0.0005849000000000001,0.0006144000000000001,0.0005526,0.0005686,0.0010634,50.05584549879995
,S3 - Glacier Deep Archive Overhead,2.1263331918999997,7.100999999999999e-7,,,,,0.0000836549,0.00020145069999999999,,,,,,,,,,2.1266190076
,S3 - Glacier Deep Archive,25.6788799676,0.0629476516,,,,,0.0247456382,0.003410701,,,,,,,,,,25.769983958399997
,S3 - Glacier Overhead,,0.07620627260000001,,,,,,4.5919655062,,,,,,,,,,4.668171778800001
,S3 - Glacier,,0.0154766316,,,,,,2.5411041357,,,,,,,,,,2.5565807673
,S3 - Standard Infrequent Access,0.3877269408,,,,,,,,,,,,,,,,,0.3877269408
,S3 - Intelligent Tier,,,,,,,,0.7429097366,,,,,,,,,,0.7429097366
,S3 - Intelligent Tier Archive Instant Access,,,,,,0.0026692976,,0.25243615329999997,,,,,,,,,,0.2551054509
,S3 - Intelligent Tier Infrequent Access,,,,,,,,0.0212698664,,,,,,,,,,0.0212698664
,S3 - Intelligent Tier Monitoring and Automation,,,,,,0.0078583872,,0.1786950807,,,,,,,,,,0.18655346790000002
,S3 - Storage,858.3540118299999,496.82961638629973,4.758887120700003,0.34959864700000004,53.35363682979999,15.072499458600001,52.87171745009996,97.61368829289997,6.274352628400004,2.482e-7,0.43269761929999995,1.78e-8,0.0056089394,0.042280809800000006,0.0274930993,,1.9879999999999998e-7,1585.9860895763998
,S3 - Transfer,0.02007905419999998,0.0805416426,0.00030580509999999996,0.0000025776,0.0023484461000000006,0.000005093700000000001,0.00018200090000000012,0.8281531794000002,0.0009899752000000002,0.0000024443,0.0000038610999999999985,0.0000017738000000000003,6.708e-7,0.0000017632000000000003,0.0000010168000000000004,2.887e-7,0.0000022951000000000003,0.9326218886000002
,RDS - Charged Backup Usage,,,0.0086138274,,24.3376084288,,,,,,,,,,,,,24.3462222562
,RDS - Compute,,,268.35900000000004,,443.35200000000003,,88.90700000000001,,,,,,,,,,,800.618
,RDS - GP3 Storage,,,11.8856518872,,19.832862904399995,,7.0329301042,,,,,,,,,,,38.75144489579999
,RDS - I/O,,,0.6336054,,0.8337140000000001,,,,,,,,,,,,,1.4673194
,RDS - Multi-AZ GP3 Storage,,,,,10.549395165399998,,,,,,,,,,,,,10.549395165399998
,RDS - Storage,,,0.009984547899999998,,0.0028083221999999994,,,,,,,,,,,,,0.012792870099999997
,RDS - Transfer,,,0.0003830687000000001,,0.0007534671000000001,,0.0000041558,,,,,,,,,,,0.0011406916000000003
,API Gateway - API Call,,0.0404075,,,,,,,,,,,,,,,,0.0404075
,API Gateway - Caching,,,,,,,1.8600003933,,,,,,,,,,,1.8600003933
,API Gateway - Data Transfer,,0.0021473886,,,,,,,,,,,,,,,,0.0021473886
,Amplify - Hosting,,,,,,,0.000007097300000000001,,,,,,,,,,,0.000007097300000000001
,Athena,,0.03237,,,0.0952,,,1.7369550000000002,,,,,,,,,,1.8645250000000002
,Certificate Manager - Certificate,,0,,,,,,,,,,,,,,,,0
,CodeBuild - Build Minutes,,,,,,,,,0.05,,,,,,,,,0.05
,Cognito - Other,,0.056249999999999994,,,,,0,,,,,,,,,,,0.056249999999999994
,Cognito - Lite,,0,,,0,,,,,,,,,,,,,0
,Direct Connect - Port Hours,,,,60.72,,,,,,,,,,,,,,60.72
,Directory Service - Enterprise Edition,,4.732971361200001,,,,4.7339071807,,,,,,,,,,,,9.466878541900002
,Directory Service - Standard Edition,,,11.023593683599998,,,,,,10.6901785168,,,,,,,,,21.713772200399998
,DocumentDB - Backup,,8.6310027839,,,,,3.463029856000001,,,,,,,,,,,12.0940326399
,DocumentDB - Compute,,1896.5856,,,,,39.5857051031,,,,,,,,,,,1936.1713051031002
,DocumentDB - Storage,,109.40259837580001,,,,,8.145133664,,,,,,,,,,,117.54773203980001
,ECR - Storage,,,,,,,0.0006343337,,0.0561683307,,,,,,,,,0.0568026644
,EC2 Container Service - Fargate Compute,,7.626238320099947,7.339024000000001,,14.679472986000002,,0.19919083779999963,,,,,,,,,,,29.843926143899953
,EC2 Container Service - Fargate Data Transfer,,0.025708191999999984,0.0027954568000000003,,0.0009104181999999999,,0,,,,,,,,,,,0.02941406699999998
,EC2 Container Service - Fargate Memory,,2.4875831720000146,2.4176355,,4.8357404217,,0.04505032289999998,,,,,,,,,,,9.786009416600013
,FSx - Backup,145.36670242020904,,,,,1.1995799818000197,,,,,,,,,,,,146.56628240200905
,FSx - Data Transfer,0,,,,,0,,,,,,,,,,,,0
,FSx - Storage,393.93960545159996,,,,,31.655913978,,,,,,,,,,,,425.59551942959996
,FSx - Throughput,2374.1935483776,,,,,118.7096774336,,,,,,,,,,,,2492.9032258112
,Global Accelerator - Data Transfer,,,,2.3294344768,,,0.00009478710000000002,,,,,,,,,,,2.3295292639
,Global Accelerator - Fixed Fee,,,,4.6,,,4.6000000000000005,,,,,,,,,,,9.2
,Glue - Crawler,0.67466696,0.8025842000000001,,,,,,13.12923392,,,,,,,,,,14.60648508
,Glue - Job,,198.85799911999996,3.7901111600000004,,16.640555799999998,,57.05186739999999,,,,,,,,,,,276.34053348
,AWS Key Management Service,0.8441279219999999,2.930447759999999,1.0883134019999998,0.13786965399999998,0.9718307479999999,0.7297996119999999,19.73111262,1.7566545640000002,13.840523337999992,0.12014865399999998,0.359644962,0.000126,0.000594,0.000156,0.0003960000000000001,0.00051,0.000126,42.51238123599999
,Lambda - Compute,0,0,0,0,0,0,0,0.0000018520999999999998,0.0000077658,,0,,,,,,,0.0000096179
,Lambda - Request,2e-7,0.006747,0.000023399999999999996,0.0003542,0.0015646000000000002,2e-7,0.00003540000000000001,0.011959399999999997,0.00032840000000000007,,0.0000016,,,,,,,0.0210144
,QuickSight - Author,,14.838709439999999,11.870967552,,2.967741888,,11.870967552,35.612902655999996,5.935483776,,,,,,,,,83.09677286399999
,QuickSight - Reader,,,,,,,,7.4193547199999985,,,,,,,,,,7.4193547199999985
,Route 53 - Health Check,0.0967741936,0,,,,,,,,,,,,,,,,0.0967741936
,Route 53 - Hosted Zone,,5,0.5,0.1,2.7000000000000006,0.5,5,0.30000000000000004,0.2,,,,0.30000000000000004,,,,,14.600000000000001
,Route 53 - Query,,0.0023896000000000004,0.0015664000000000003,,0.0022828,,0.0043028,,0.0613208,,,,,,,,,0.0718624
,Route 53 - Resolver,,,,68.9894947238,,57.4752652776,,,46,,,,,,,,,172.4647600014
,Secrets Manager - Secret,0.1484170944,1.9362072272000017,1.8313124975999977,0.09892472959999998,2.0299369567999976,0.09894472960000002,5.7803706550000005,0.049552364800000005,3.3156534415999976,0.19784945919999997,,,,0.49462364799999997,0.0494623648,,,16.031255168599994
,Security Hub - Checks and Events,4.2674,29.7868,10.6998,,6.6068,1.9529999999999998,38.279,4.755,5.9508,,3.3619999999999997,,0.3662,,0.39300000000000007,0.30920000000000003,,106.72900000000001
,Simple Email Service - Dedicated IP,3.2193548372,6.4387096744,3.2193548372,,,3.2193548372,3.2193548372,3.2193548372,3.2193548372,,,,,,,,,25.754838697600004
,SQS - Data Transfer,,,,,,,,0.0501232463,,,,,,,,,,0.0501232463
,SQS - Standard Queues,,0.0000128,,,,,0.00009359999999999998,0.513663200000001,0.014023200000000001,,,,,,,,,0.527792800000001
,Step Functions - State Transition,,0.0005,,,,,0.00030000000000000003,0.00030000000000000003,,,,,,,,,,0.0011
,Storage Gateway - File Share Request,6.267966288,,,,,0.0109007455,,,,,,,,,,,,6.2788670335
,Transfer Family - Data Transfer,,0.0019413151000000001,0.0042382666,,7.12e-8,,0.0019944784,,,,,,,,,,,0.008174131300000002
,Transfer Family - Protocol,,82.8,55.199999999999996,,82.8,,28.676839250999997,,,27.599999999999998,,,,,,,,277.076839251
,Virtual Private Cloud - VPC Endpoint Transfer,0,0.1929817104,0,1.91e-8,0.0037733648999999994,0,0.017352577899999996,,0,,,,,,,,,0.2141076723
,Virtual Private Cloud - VPC Endpoint Usage,86.93219415170005,265.0061929928998,43.5447679575,40.535530083,42.5527887605,61.824073518400006,157.10017069460005,1.8399999999999999,24.168220743699997,57.09000000000001,,,,,,,,780.5939389023
,Virtual Private Cloud - VPN Connection Usage,,,,13.8,,,,,,,,,,,,,,13.8
,WAF - Request,,0.009716200000000001,0.013344599999999998,,0.005015100000000001,,0.0001744,,,,,,,,,,,0.028250300000000002
,WAF - Rule,,7.4193548396,2.2258064528000006,,7.048387094400001,,9.6451612924,,,,,,,,,,,26.3387096792
,WAF - WebACL,,6.801075160000002,2.4731182400000002,,4.9462364800000005,,6.182795600000001,,,,,,,,,,,20.403225480000003
,CloudFront - HTTP Requests,,,0,,0,,,,,,,,,,,,,0
,CloudFront - HTTPS Requests,,,0,,0,,,,,,,,,,,,,0
,CloudFront - Transfer,,,0.00000699,,0,,,,,,,,,,,,,0.00000699
,CloudWatch - Alarms,0.07419354719999999,0.5000000013000001,0.14838709439999997,,0.3524193561,0.04999999919999999,0.6770161319999999,1.2427419362999998,0.1552419415,,0.0185483868,,,,,,,3.2185483948
,CloudWatch Log Groups,4.4247625125,40.175153648799984,0.7470166385000001,49.023927957199994,1.0107630998000001,1.7259190311000001,4.172310305100006,14.07033777520009,7.239501963800001,0.00006072480000000001,0.31554372449999996,2.4e-9,4e-9,0.00042287440000000003,7.200000000000001e-8,1.71e-8,,122.90572035120009
,CloudWatch - Metrics,,0.638709687,,0.1862903262,,,0.061290323499999994,,,,,,,,,,,0.8862903366999999
,DynamoDB - Backup,,9.447999999999998e-7,,,,,2.892e-7,,0.00004028490000000011,,,,,1.9249999999999996e-7,,,,0.00004171140000000012
,DynamoDB - Provisioned Read Capacity,,0,0,,,,0,,0,,,,,,,,,0
,DynamoDB - Provisioned Write Capacity,,0,0,,,,0,,0,,,,,,,,,0
,DynamoDB - On-demand Read Capacity,,,,,,,,,0.00032725,,,,,,,,,0.00032725
,DynamoDB - On-demand Write Capacity,,,,,,,,,0.000026249999999999998,,,,,,,,,0.000026249999999999998
,DynamoDB - Storage,,,,,,,0,0,0,,,,,,,,,0
,Amazon Elastic File System,,589.9037811037999,88.68303433139998,,112.7093068038,,,,,,,,,,,,,791.2961222389999
,OpenSearch - Compute,,,,,,,,225.216,,,,,,,,,,225.216
,OpenSearch - Storage,,,,,,,0.0000177598,82.5113774914,,,,,,,,,,82.5113952512
,OpenSearch - Data Transfer,,,,,,,,0.0109132542,,,,,,,,,,0.0109132542
,Amazon Kinesis,,3.6800070343,,,,,7.865,55.80000000000005,,,,,,,,,,67.34500703430004
,Kinesis Firehose,,,,,,,,4.163591637599999,,,,,,,,,,4.163591637599999
,Redshift - Serverless,,,,,,,15.9999975,,,,,,,,,,,15.9999975
,Redshift - Storage,,,,,,,0.007319832000000001,,,,,,,,,,,0.007319832000000001
,Amazon WorkSpaces,785.629999928,,1258.25,236.75,,642.7599999119998,301.75999998,,,,,,,,,,,3225.1499998199997
Indirect Charges (61),,2051.8348867781915,1071.4370260874005,669.1600076337202,1590.5023588955003,679.38331294524,261.66781222980006,282.09023796940005,362.10954196669996,252.2833824088999,22.88028646858,18.653581328800005,4.68016,0.12321621969999999,0.0762440028,0.05837521119999999,0.0318552,0.00024000000000000003,7266.972525345929
,EC2 - Savings Plan Negation Credits,0,0,0,0,0,0,0,,0,,,,,,,,,0
,RDS - Charged Backup Usage,,,,,4.2286267358,,,,,0.0084528573,,,,,,,,4.2370795931
,RDS - Other,,,,,1.4280483959999999,,,,,,,,,,,,,1.4280483959999999
,CloudFormation,,,,,,,0,,,,,,,,,,,0
,CodeArtifact,,,,,,,,,0,,,,,,,,,0
,Detective,,3.2108514722,0.9167248808,,0.8893006684,,3.339772534,2.6434581242,3.2560936305999997,,0.1943478742,,,,,,,14.450549184400002
,HealthLake,,24.839999999999996,,,,,49.68000000000001,,,,,,,,,,,74.52000000000001
,Amazon Inspector,7.172261859599998,11.676484102200005,2.763588000000001,0.435252,3.9416018425000003,2.2537920000000002,11.646597017300007,4.411860000000001,5.214240000000001,,0.8095080000000001,,0,0,0,0,,50.32518482160001
,Network Firewall,,110.20500000000001,147.02969990329998,,294.2156686615,,,,,,,,,,,,,551.4503685648
,Amazon WorkSpaces Web,,,14,,,,,,,,,,,,,,,14
,Backup,,496.3424886639,0.9084422144000006,,7.590663268999999,,0.000002072699999999999,0.000035016300000000006,,,,,,,,,,504.8416312363
,AWS Cloud WAN,,,,46,,,,,,,,,,,,,,46
,AWS CloudTrail,8.7825545,0,0,0,0,0,0,0,0,,0,,,,,,,8.7825545
,AWS CodeCommit,,,,,,,,,0,,,,,,,,,0
,AWS CodePipeline,,,,,,,,,0,,,,,,,,,0
,AWS Compute Optimizer,,,,,,,0.08502352009999999,,,,,,,,,,,0.08502352009999999
,AWS Config,8.985,162.602,9.892,0.41100000000000003,5.416,2.595,31.002,1.5710000000000002,1.273,,0.284,,,,0.003,0.004,,224.03799999999995
,Direct Connect - Data Transfer,,,,0.4064270837,,,,,,,,,,,,,,0.4064270837
,DocumentDB - Other,,,,,,,17.5337748945,,,,,,,,,,,17.5337748945
,EC2 Container Service - Savings Plan Negation Credits,,0,0,,0,,0,,,,,,,,,,,0
,FSx - Other,39.54448271680001,,,,,0.0087848,,,,,,,,,,,,39.55326751680001
,Glacier - Transfer,,1.6e-7,,,,,,1.4e-7,,,,,,,,,,3e-7
,Glue - Data Catalog,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Lambda - Data Transfer,,0.0002427681,0,0,0,,0,,0.0000234597,,9.811e-7,,,,,,,0.0002672089
