Sheet: Cost ($)
Subtotal,Service Items,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,Total
,EC2 - Transfer,106.27047865129998,113.2620336089,123.36489479780002,246.25244151589987,223.9718360174,277.16302192270007,232.2789407782,245.58590684990003,237.2248158525,213.70423979159995,280.92732664730005,214.9342436516,28.82413866000001,2543.7643187450994
,EC2 - NAT Gateway Transfer,255.2117782303999,245.7649457411001,261.2065006972001,264.1103188871,286.4849509397003,337.4532264032,330.47267063510037,285.41590764170024,237.53930235930002,192.74953791110002,211.35809524449996,230.8238810925001,26.333809903999988,3164.9249256869016
,EC2 - NAT Gateway Usage,1607.0399999856002,1555.2450000072004,1586.2500000000002,1506.6000000000004,1513.8900000000003,1584.9232505952002,1587.9337501536002,1642.5450000000003,1740.9600000000003,1572.5385000000003,1740.9765001536005,1663.8675003000003,202.54499999999996,19505.3145011952
,S3 - API,446.1353877054999,427.859058031,438.6169225773,696.1963604488,436.6911012876005,4457.797713207099,407.54096808639974,421.69904529710004,404.7453119262008,376.7879857848,458.2913866995003,383.86517723600065,50.05584549879995,9406.282263786103
,S3 - Glacier Deep Archive Overhead,0.0018134588,0.0024177258,0.0030145348,0.0037307268,0.0043994989,11.285937650200001,16.097113428599997,16.0951463083,16.075927579699997,16.06093706479999,16.07722369279999,16.038708534100007,2.1266190075999996,109.87298921119998
,S3 - Glacier Deep Archive,0.8482141826999999,4.0312735515,11.355650266099998,22.3197454015,34.49107992529999,83.36711413530001,112.95918894089999,128.216199103,143.7095511337,158.965199334,174.2652729964,190.63352630300002,25.769983958399997,1090.9319992317999
,S3 - Glacier Overhead,29.4706122419,30.0545291325,30.6626037908,31.2651434195,31.801312145199997,32.432470659699995,33.0286757915,33.6081449929,34.1580086671,34.604256019500006,35.132651002,35.371919281000004,4.6681717788,396.2584989224
,S3 - Glacier,17.876684944900003,18.1077333041,18.9476484763,19.1312710637,19.2042441047,19.277041431900003,19.3685545383,19.487041268899997,19.561642013700002,19.633112206700005,19.7152193913,19.779849826299994,2.5565807673,232.64662333809997
,S3 - Standard Infrequent Access,,,,,2.003255862,3.0048837912,3.004883793,3.0048837912,3.0048837912,3.0048837924000003,3.0048837911999997,3.004883793,0.3877269408,23.425169346000004
,S3 - Intelligent Tier,0.39548860640000005,0.5387182059,3.5098821844,7.450210176300002,1.9174617749999998,2.7052670633,3.0576535662,3.5631005101000004,4.052970305200001,4.5788443381,5.024714099600001,5.497306671500001,0.7429097366,43.03452723859999
,S3 - Intelligent Tier Archive Instant Access,0.011491234900000001,0.012562059999999998,0.0610119922,0.0832358555,0.09650506710000001,0.667190297,1.7205876979,1.7815313215999997,1.8633129716,1.8996467663,1.9307015001999992,1.9577815296999999,0.2551054509,12.3406637449
,S3 - Intelligent Tier Infrequent Access,0.1485929417,0.219141295,0.1083538775,1.6632499165000003,5.0728851164,3.4713431187,0.4398218007,0.3669368489,0.21370512059999996,0.1818444414,0.18384407419999999,0.18055545030000003,0.0212698664,12.271543868300002
,S3 - Intelligent Tier Monitoring and Automation,0.1185696783,0.15605849879999997,0.3612802428,0.7856172588,0.8738784990999999,1.0001314522,1.1015105821,1.1732806461,1.2326354037999998,1.2967408934,1.3543485491,1.4133351656,0.18655346790000002,11.053940337999999
,S3 - Storage,6992.091922548599,8163.630305951296,9375.302237727003,10439.159066822998,12225.924458645002,10597.660826276,9911.150483597297,10132.281367477099,10595.496447633703,10824.556196714,11203.557219162902,11616.885072388699,1585.9860895764,123663.681694521
,S3 - Transfer,10.113126062299989,10.32718280409999,24.273660809299972,21.928201134400275,22.66414976270004,9.559471146399988,14.785115406799997,13.605800203099989,12.744487225500022,12.95324697590004,19.207698231100082,9.522861742800034,0.932621888599999,182.61762339300043
,RDS - Charged Backup Usage,114.10557070019998,156.34219470409997,120.49788816350001,143.3649041894,131.7514386351,114.10938131619999,97.93231421160006,107.2085882456,117.0971716209,118.02454379419997,96.27477161859998,184.69898992190002,24.3462222562,1525.7539793775
,RDS - Compute,5411.112,5222.188634408,5189.093378142,5068.358145825,5250.974377597,5827.752,5213.916490872,5120.176908306001,5185.789496472,4703.3824423080005,6012.868180054,6052.166454768,800.618,65058.396508752005
,RDS - GP3 Storage,102.35000007360003,102.34999987199998,102.35000007360001,111.95152971980002,152.28533355539997,182.85000005040004,150.475686582,131.67500001360003,133.98936642680002,138.03693578419998,174.10910428940002,338.5064324941,38.75144489579999,1859.6808338307
,RDS - I/O,18.322597,16.249545599999998,11.3815314,8.5269236,8.2271638,8.5546078,8.0424008,8.5433454,8.5060124,7.964452399999999,11.2605106,11.5282538,1.4673194,128.57466399999998
,RDS - Multi-AZ GP3 Storage,154.26600811830002,160.310000016,160.3100000688,160.8441936176,174.0237500142,184.23000004319996,184.23000000000002,184.2300000432,190.1679570472,197.11000001280001,297.1135925632999,169.1480029059,10.549395165399998,2226.5328996158996
,RDS - Storage,0.7031033578000001,0.7036689494999999,0.4100711989000001,0.0861430839,0.08735156860000003,0.0888545628,0.08783804750000002,0.0901430661,0.09138836979999997,0.09256828840000003,0.10032805149999997,0.10330590070000001,0.012792870099999997,2.6575573156
,RDS - Transfer,0.012776287299999998,0.012583858499999996,0.009103388699999996,0.007613987399999999,0.0074804715,0.0079300265,0.0071137407,0.0077228073,0.007532577500000002,0.007065450499999999,0.009372004100000003,0.009939498699999999,0.0011406916000000003,0.10737479029999997
,API Gateway - API Call,0.6293770000000001,0.5719770000000001,0.5952275000000002,0.5425245000000001,0.4896114999999999,0.4547025,0.38696,0.39896499999999996,0.4210395,0.35996800000000007,0.4036935,0.411495,0.0404075,5.705948500000001
,API Gateway - Caching,,,,,,15.905999098199999,23.424014147100003,14.880591914999998,14.876759335000001,13.4423849696,14.8789470371,14.398766284499999,1.8600003933,113.6674631798
,API Gateway - Data Transfer,0.020928125,0.0188351163,0.0200580936,0.018996789299999997,0.0214023357,0.023220200100000005,0.024973719899999997,0.031094638100000002,0.0319693677,0.021977354199999997,0.022858665700000003,0.022843953800000004,0.0021473886,0.281305748
,Amplify - Hosting,0.000029612599999999995,0.0001362718,0.0000445502,0.0000938042,0.00012268780000000001,0.0000363131,0.0000126875,0.0000788697,0.0002738478,0.0007118707,0.0003193182,0.0000231085,0.000007097300000000001,0.0018900394000000002
,Athena,6.445625000000001,6.199220000000002,6.86069,5.559844999999999,6.0078,6.167215000000001,6.060199999999999,6.2622,6.218005,5.957075,6.225825000000001,6.2016800000000005,1.8645250000000002,76.029905
,Certificate Manager - Certificate,,,0,0,0,0,0,0,0,0,0,0,0,0
,CodeBuild - Build Minutes,6.145000000000001,6.3950000000000005,5.535000000000001,4.65,4.085,4.01,3.8900000000000006,4.539999999999999,4.335,7.675000000000002,18.44,9.209999999999999,0.05,78.96
,Cognito - Advanced Security Features,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.5499999999999999
,Cognito - Other,178.1522652,240.08325,240.0945,240.08100000000002,240.0585,247.94339316,0.5872499999999999,0.46799999999999986,0.47475,0.40049999999999997,0.31275000000000003,0.1665,0.056249999999999994,1388.8789083600004
,Cognito - Enterprise,0,0,0,0,0,,0,0,0,0,0,,,0
,Cognito - Essentials,,,,,,,,0,,0,,0,,0
,Cognito - Lite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Direct Connect - Port Hours,491.04,475.20000000000005,491.04,491.0400000000001,475.20000000000005,491.04,475.20000000000005,491.04,491.04,443.52000000000004,491.04,475.20000000000005,60.72,5842.320000000001
,Directory Service - Enterprise Edition,40.9424256386,35.918324083099996,37.2192493611,37.15863179110001,35.951706055399995,37.395504319,39.5531310276,74.3996334983,74.45581304150001,66.9337833056,74.47244104090001,72.18944654110001,9.466878541900002,636.0569682451999
,Directory Service - Standard Edition,178.17760216669998,173.31603005039997,178.6664009329,178.3550861493,172.58137676680002,178.1481683828,173.3292244332,178.5488217504,178.08636140060003,161.2468354838,178.74013668310002,173.26019885009998,21.713772200399998,2124.1700152505
,DocumentDB - Backup,62.8419247968,49.42660103029999,46.2996477702,39.894325821399995,38.924368212699996,38.7798430636,44.904644817199994,59.77601349179999,51.9808985386,68.71803157699999,77.86956809839998,74.99241342590003,12.0940326399,666.5023132837999
,DocumentDB - Compute,18951.763199999998,18340.416,17873.2511102984,13783.120799999997,13338.504,13418.254416446,9718.1453810088,9719.090733966701,9965.517073779301,7878.617010701801,9029.466928061101,13839.7958783393,1936.1713051031002,157792.1138377045
