Sheet: Cost ($)
Subtotal,Service Items,scdhhs-onbase-upper,scdhhs-mes-upper,scdhhs-eps-lower,scdhhs-eps-upper,scdhhs-mes-lower,scdhhs-onbase-lower,scdhhs-mes-networking,scdhhs-mes-audit,scdhhs-mes-shared,scdhhs-mes-upper-edi,scdhhs-cbs-sandbox,scdhhs-mes-bastion,scdhhs-mes-upper-fhir,mes-aws-sharedservices,scdhhs-mes-lower-fhir,scdhhs-mes-lower-edi,MES_AWS_PRD,Total
Direct Charges (117),,856177.001709637,419236.1477073168,129350.77063413343,90101.54372731388,102454.29322041564,97437.02410100406,75269.77017343434,50226.90980939709,19302.401678023405,15249.686262443201,6723.144970765699,319.0186054495,457.00699166679993,0.09589326869999998,113.6932365804,50.170764004500015,0.11042501230000001,1862468.7899098648
,EBS - PIOPs Storage,2453.3462459038997,,,,,,,,,,,,,,,,,2453.3462459038997
,EBS - Storage,44115.8995793582,14875.5716209848,1803.5010558058004,2720.6728807410004,3084.0559430309995,2802.4769497712,4551.6932805768,96.92473129560001,550.3319800861999,,12.387096727199998,,,,,,,74613.51511837779
,EC2 - Application Load Balancer Usage,0.0675049937,1138.4739606978005,710.7115982729001,504.80371411740003,728.8237041597002,,109.61516594100001,,,,,,,,,,,3192.495648182501
,EC2 - Application Load Balancer Transfer,,,0.5243644883000003,,,,,,,,,,,,,,,0.5243644883000003
,EC2 - Compute,174895.473230568,33573.37718047932,8697.2922802124,9108.023814255803,9394.409645257498,28713.276095228906,30991.774743641523,,5564.733918202601,,0.198780048,,,,,,,300938.559687894
,EC2 - CPU Credits,,,0.457594368,,0.01721685,0.000036192,,,0.13368960600000002,,,,,,,,,0.608537016
,EC2 - EBS Surcharge,0,0,0,0,0,0,0,,0,,,,,,,,,0
,EC2 - Classic Load Balancer Usage,,,235.95000000000005,,,,1559.4972537072003,,,,,,,,,,,1795.4472537072004
,EC2 - Classic Load Balancer Transfer,,,0.012421322999999998,,,,542.9278273291001,,,,,,,,,,,542.9402486521001
,EC2 - Network Load Balancer Usage,687.6079380941002,1302.9933987616005,237.78038103190002,476.238201677,648.2493008666003,200.02658729549998,2695.230594333601,,,,,,,,,,,6248.126402060301
,EC2 - Network Load Balancer Transfer,107.46511886389999,0.0705896636,0.000027001999999999997,0.025882363799999995,,3.3302947304,123.07222680660001,,,,,,,,,,,233.9641394303
,EC2 - EBS Snapshot,174720.8163152622,58016.47604329464,708.2598436309999,1157.7885564941005,885.0043836241001,6568.349809450922,1410.8952766592997,,376.0220483550003,,,,0.0731635309,,,,,243843.6854403022
,EC2 - Transfer,670.8547765889999,166.59196189050002,2.1936048489000006,5.8028612634,2.2710145663000003,25.0914123136,1670.3326740972,,0.6260131762,,,,,,,,,2543.7643187451
,EC2 - NAT Gateway Transfer,0.0004951984000000003,1401.773386322602,101.95518759109996,6.9101200689,0.016397346900000005,0.00020541699999999992,1612.981537958401,40.04401382199996,1.2433633781,0.00021858350000000007,,,,,,,,3164.9249256869034
,EC2 - NAT Gateway Usage,1195.0650000000003,5941.522500300001,1192.9245002976002,264.1125006048001,5120.594999992801,398.34000000000003,4118.310000000001,664.6950000000002,332.46000000000004,277.2900000000001,,,,,,,,19505.314501195204
,S3 - API,4501.607629894099,1409.351326152301,10.827373600000001,5.0435176,6.079177597300012,1.2076559999999998,2.1707256000000004,3463.142398263902,1.5279810838999994,0.16677000000000003,0.15192875460000002,0.3931743999999999,3.386332039999999,0.08525879999999998,0.8514108,0.18979860000000007,0.09980460000000001,9406.282263786103
,S3 - Glacier Deep Archive Overhead,109.85458418009999,0.0000578373,,,0.0037603949999999993,,,0.0145867988,,,,,,,,,,109.8729892112
,S3 - Glacier Deep Archive,1083.8118630745003,5.827785008499999,,,0.9748839246,,,0.3174672242,,,,,,,,,,1090.9319992318003
,S3 - Glacier Overhead,,7.042732115000005,,,,,,389.2157668074,,,,,,,,,,396.25849892239995
,S3 - Glacier,,1.4548033659,,,,,,231.19181997220005,,,,,,,,,,232.64662333810006
,S3 - Standard Infrequent Access,23.425169346000004,,,,,,,,,,,,,,,,,23.425169346000004
,S3 - Intelligent Tier,,,,,,0.013387578800000001,,43.0211396598,,,,,,,,,,43.0345272386
,S3 - Intelligent Tier Archive Instant Access,,,,,,0.22329837499999997,,12.1173653699,,,,,,,,,,12.3406637449
,S3 - Intelligent Tier Infrequent Access,,,,,,0.07902287699999999,,12.192520991300002,,,,,,,,,,12.271543868300002
,S3 - Intelligent Tier Monitoring and Automation,,,,,,0.7386883891999999,,10.315251948800002,,,,,,,,,,11.053940338000002
,S3 - Storage,57215.14421781439,46925.19507364379,297.6202966665999,4498.5864360065,4689.535988713201,1384.1917216063,14.007876052800002,8014.050403337298,534.0789129915005,2.3630876035,0.000022873,39.313054092799995,35.51106975619999,0.0000016651000000000006,10.328955919100002,3.7545574147999994,0.000018364100000000003,123663.681694521
,S3 - Transfer,0.4387895098999999,57.77237666030048,5.104131376499999,8.402214985400002,20.430069394400018,0.04450755849999998,0.0028427215,86.22735741120029,1.3337587387999983,0.0002703960999999999,0.0001896558,0.004123011399999985,1.5503642312000006,0.00015358309999999992,1.3057878025000005,0.0004793081999999999,0.00020704820000000006,182.6176233930008
,RDS - Charged Backup Usage,,,1.0056361300000003,1524.7483432475003,,,,,,,,,,,,,,1525.7539793775004
,RDS - Compute,,,22980.974419702,36702.884711453,5374.537377597,,,,,,,,,,,,,65058.396508752
,RDS - GP3 Storage,,,1155.8157532882,267.3968168413,436.4682637012001,,,,,,,,,,,,,1859.6808338307003
,RDS - I/O,,,67.9733356,60.6013284,,,,,,,,,,,,,,128.57466399999998
,RDS - Multi-AZ GP3 Storage,,,,2226.5328996158996,,,,,,,,,,,,,,2226.5328996158996
,RDS - Storage,,,0.9548652887000001,1.7026920268999999,,,,,,,,,,,,,,2.6575573156
,RDS - Transfer,,,0.0431521187,0.0639768492,0.00024582239999999995,,,,,,,,,,,,,0.10737479030000001
,API Gateway - API Call,,5.623961,0.024524499999999994,,0.057463,,,,,,,,,,,,,5.705948500000001
,API Gateway - Caching,,,,,113.6674631798,,,,,,,,,,,,,113.6674631798
,API Gateway - Data Transfer,,0.23525143630000003,,,0.046054311699999996,,,,,,,,,,,,,0.281305748
,Amplify - Hosting,,,,,0.0018900394000000002,,,,,,,,,,,,,0.0018900394000000002
,Athena,,4.30874,0.30029999999999996,1.97696,0.045445,,,69.39041,0.008050000000000002,,,,,,,,,76.029905
,Certificate Manager - Certificate,,0,0,0,0,,,,,,,,,,,,,0
,CodeBuild - Build Minutes,,,,,0.9500000000000001,,,,78.01,,,,,,,,,78.96000000000001
,Cognito - Advanced Security Features,,,,,,,,0.5499999999999999,,,,,,,,,,0.5499999999999999
,Cognito - Other,,517.6044432,,,871.2744651600002,,,,,,,,,,,,,1388.8789083600002
,Cognito - Enterprise,,0,,,,,,,,,,,,,,,,0
,Cognito - Essentials,,,,0,0,,,,,,,,,,,,,0
,Cognito - Lite,,0,0,0,0,0,,0,,,,,,,,,,0
,Direct Connect - Port Hours,,,,,,,5842.320000000001,,,,,,,,,,,5842.320000000001
,Directory Service - Enterprise Edition,3.6358849304999996,442.7396802885,,,,189.6814030262,,,,,,,,,,,,636.0569682452
,Directory Service - Standard Edition,,,1062.246928283,,,,,,1061.9230869675002,,,,,,,,,2124.1700152505
,DocumentDB - Backup,,382.63282441239994,,,283.8694888714,,,,,,,,,,,,,666.5023132837999
,DocumentDB - Compute,,114661.75453975337,,,28869.674587652702,,,,,14260.684710298401,,,,,,,,157792.11383770447
,DocumentDB - I/O,,,,,0.014769000000000001,,,,,,,,,,,,,0.014769000000000001
,DocumentDB - Storage,,4525.667003565401,,,1099.0025920107998,,,,,0.0587760526,,,,,,,,5624.7283716288
,ECR - Data Transfer,,,,,,,,,0.06260150020000001,,,,,,,,,0.06260150020000001
,ECR - Storage,,,,,0.0628685393,,,,10.843077719100002,,,,,,,,,10.905946258400002
,EC2 Container Service - Fargate Compute,,630.7298991083952,940.8507879005006,784.369613931,42.313462492600145,,,0.0006746667,,,,,,,,,,2398.264438099196
,EC2 Container Service - Fargate Data Transfer,,3.1066571221999997,0.0454537615,0.0365103569,0.0000010831999999999999,,,,,,,,,,,,,3.1886223237999998
,EC2 Container Service - Fargate Memory,,206.3965261251029,309.93688870630046,258.38855734880013,11.754007448899827,,,0.0001481667,,,,,,,,,,786.4761277958033
,EKS - Cluster Hours,,,795.1467344680002,,,,,,,,,,,,,,,795.1467344680002
,FSx - Backup,15439.67623600292,,,,,140.08796237799322,,,,,,,,,,,,15579.764198380914
,FSx - Data Transfer,2.1715871424,,,,,0.0013360642,,,,,,,,,,,,2.1729232066
,FSx - Storage,39677.799258124396,,,,,5418.893581861599,,,,,,,,,,,,45096.692839986
,FSx - Throughput,300310.0442530366,,,,,29772.6758177712,,,,,,,,,,,,330082.7200708078
,Glacier - Transfer,,1.26e-8,0.0000554567,,0.000051645999999999986,,,,,,,,,,,,,0.00010711529999999999
,Global Accelerator - Data Transfer,,,,,0.010942525199999994,,352.2600383392001,,,,,,,,,,,352.2709808644001
,Global Accelerator - Fixed Fee,,,,,442.5500000000001,,442.55,,,,,,,,,,,885.1000000000001
,Glue - Crawler,49.55872680000002,8.78591956,,,0.1639242,,,1072.11432812,,,,,,,,,,1130.62289868
,Glue - Job,,31946.119225119997,2468.76146572,14094.99178912,8320.67433692,,,,,,,,,,,,,56830.54681688
,AWS Key Management Service,76.04253155830001,292.06931205519993,110.0337578466,100.60204144560001,1965.5967842863997,66.67226585179999,12.970744909800004,174.76110119500004,1288.3125417196998,0.24029700000000004,12.047147328900005,25.905697246200006,200.59305423970002,0.010478999999999999,42.32837352240001,0.16706399999999993,0.010395000000000001,4368.3635882056005
,Lambda - Compute,0.0016616108999999999,42.89574870579998,20.793573793500002,34.802460751199995,2.5501805676000004,0.0017488267999999998,28.146536219999998,60.895697600999995,6.443607339799999,0.0000385272,,0.010136919099999999,0.000039904199999999996,,0.000037252099999999995,0.0000360688,,196.54150408799995
,Lambda - Request,0.00007279999999999998,3.5875026000000005,0.141343,0.11320960000000001,0.024170399999999998,0.000073,0.14965080000000003,7.0841018,0.06135979999999999,6e-7,,0.0007223999999999999,0.0000014,,0.000001,2e-7,,11.162209400000002
,QuickSight - Author,,1454.516116128,1163.6128929023998,290.9032232256,1163.6128929023998,,,3142.1612614752007,378.99999635520004,,,,,,,,,7593.806382988801
,QuickSight - Reader,,,,,,,,546.2459627459999,,,,,,,,,,546.2459627459999
,Route 53 - Health Check,5.3321908623,0,,,,,,,,,,,,,,,,5.3321908623
,Route 53 - Hosted Zone,,58.2,18.4,26.5,58.89999999999999,3.3000000000000003,2.5000000000000004,2.4000000000000004,4.2,,,,9.900000000000002,,,,,184.3
,Route 53 - Query,,0.17475159999999998,0.111052,0.5525232000000002,0.16011999999999998,,,,5.8420148,,,,0.001366,,,,,6.8418276
,Route 53 - Resolver,,,,,,5531.6620023613,6638.394801047899,,4425.5660434373995,,,,,,,,,16595.6228468466
,SageMaker - Studio Notebook Compute,,,,,5.538063070999999,,,,,,,,,,,,,5.538063070999999
,Secrets Manager - Secret,10.035108090100001,160.31101525339992,169.8397784281,124.10112610970013,520.5641895245002,9.1432514069,9.1581760223,2.9402367146,303.65464653990006,4.5757952118,13.579412665100001,0.00006500000000000001,19.6909462717,,7.879535293999999,46.01921728090001,,1401.4924998130007
,Security Hub - Checks and Events,749.22037,2063.31328,970.3888899999998,310.42948,2589.4306800000004,220.61377000000005,,292.14957000000004,387.8102,26.816290000000006,,209.17270000000005,45.78014000000001,,25.579509999999996,,,7890.704879999998
,Simple Email Service - Dedicated IP,302.6193546409,604.4338705724999,302.6193546409,,302.6193546409,302.6193546409,,302.6193546409,300.9828492658,,,,,,,,,2418.5134930427994
,SQS - Data Transfer,,,,,0.0008284844,,,3.9562737619000004,,,,,,,,,,3.9571022463000003
,SQS - Standard Queues,,0.0028875999999999993,,,0.07681919999999999,,,78.50020599999999,0.17771720000000002,,,,,,,,,78.75762999999999
,Step Functions - State Transition,0.00017500000000000003,0.04630000000000001,0.011999999999999999,0.0004000000000000001,0.028200000000000006,0.00017500000000000003,,0.10102499999999998,0.00017500000000000003,,,,,,,,,0.18844999999999998
,Storage Gateway - File Share Request,925.8363100535,,,,,0.37014850309999997,,,,,,,,,,,,926.2064585566001
,Transfer Family - Data Transfer,,564.1822872499,0.29718434749999995,7.12e-8,25.001048479300003,,,,,,3.9e-9,,,,,,,589.4805201518001
,Transfer Family - Protocol,,7966.799999999997,5311.199999999998,931.5187539989997,2798.6961795839984,,,,,,1196.4858825839995,,,,,,,18204.700816166995
,Virtual Private Cloud - VPC Endpoint Transfer,0,93.968210695,0.00008143919999999999,0.0077104588,2.2188270965999997,0,0.000003009,,0,,,,,,,,,96.1948326986
,Virtual Private Cloud - VPC Endpoint Usage,8251.574420721598,25281.60150381759,3513.4510540166,2153.7006932612007,12939.257388766406,5931.393201732901,2392.8810078637002,34.980000000000004,2181.7241221158993,677.49,5488.290000000001,,,,,,,68846.3433922959
,Virtual Private Cloud - VPN Connection Usage,,,,,,,1330.6500000000003,,,,,,,,,,,1330.6500000000003
,WAF - Request,,1.3315146000000004,1.3144919999999995,0.1653768,0.10209839999999999,,,,,,,,,,,,,2.9134817999999996
,WAF - Rule,,757.4064728137001,243.1836315737001,398.60942248930024,789.9369905446999,,,,,,,,63.344157473299994,,,,,2252.4806748947008
,WAF - WebACL,,691.7903342380004,273.670396617,325.101273116,554.2800671155003,,,,,,,,52.786797556,,,,,1897.6288686425005
,CloudFront - HTTP Requests,,,0,0,,,,,,,,,,,,,,0
,CloudFront - HTTPS Requests,,,0,0,,,,0,,,,,,,,,,0
,CloudFront - Other,,,0,0,,,,0,,,,,,,,,,0
,CloudFront - Transfer,,,0.0002912147,0,,,,0,,,,,,,,,,0.0002912147
,CloudWatch - Alarms,10.668651764200003,50.51210882960001,19.3876116932,40.601692051499995,77.92158383110001,4.678510600499999,,85.96403891220001,17.512156157699998,,,2.3459220002,,,,,,309.5922758402001
,CloudWatch Log Groups,277.65724951310006,4046.611303527897,90.27731353399997,83.64516349590001,423.13458277980175,179.4964061993,4393.018517541097,1321.9090371277932,1481.9872484455002,0.0000081701,0.004510125200000001,41.87301037979999,24.389559263599995,2.2049999999999997e-7,25.4196249903,0.039608629299999996,,12389.463143943189
,CloudWatch - Metrics,,85.9469571286,2.0261290362,,15.507941737899998,,16.729126546200003,,,,,,,,,,,120.21015444890001
,DataSync,143.39784846780003,22.373214376900002,,,,,31.7990023001,,,,,,,,,,,197.57006514480003
,DynamoDB - Backup,,0.000012794200000000002,,,0.0000037596000000000012,,,,0.00045810390000000005,,,,,,,0.0000025024999999999998,,0.00047716020000000003
,DynamoDB - Provisioned Read Capacity,,28.604159999999997,16.067999999999994,,31.352879999999992,,,,0.9734399999999996,,,,,,,,,76.99847999999999
,DynamoDB - Provisioned Write Capacity,,143.05200000000005,79.70040000000002,,136.55265,,,,4.789199999999999,,,,,,,,,364.09425000000005
,DynamoDB - On-demand Read Capacity,,,,,,,,0.0167735625,0.0132561875,,,,,,,,,0.03002975
,DynamoDB - On-demand Write Capacity,,,,,,,,0.0019375000000000002,0.012163750000000001,,,,,,,,,0.014101250000000001
,DynamoDB - Storage,,0,,,0,,,0,0,,,,,,,,,0
,ElastiCache - Other Direct,,,,,298.75833325,,,,,,,,,,,,,298.75833325
,Amazon Elastic File System,,56309.132640077994,5888.9523227603,10600.084277870297,35.7377747147,,,,,,,,,,,,,72833.90701542329
,OpenSearch - Compute,,,,,,,,18536.539999999997,,,,,,,,,,18536.539999999997
,OpenSearch - Storage,,,,,0.0017231847,,,5660.834880009498,,,,,,,,,,5660.836603194198
,OpenSearch - Data Transfer,,,,,,,,1.3206859582,,,,,,,,,,1.3206859582
,Amazon Kinesis,,354.0816077727,,,752.4200126890998,,,5317.164314062,,,,,,,,,,6423.6659345237995
,Kinesis Firehose,,0.0031269976,,,,,,448.8379674745,,,,,,,,,,448.8410944721
,Redshift - Serverless,,,,,721.6516582499999,,,,,,,,,,,,,721.6516582499999
,Redshift - Storage,,,,,0.35778986400000007,,,,,,,,,,,,,0.35778986400000007
,Amazon WorkSpaces,28160.85135986699,,67366.09412184995,,5794.695217370001,9568.343418994999,4373.730543410002,,,,,,,,,,,115263.71466149195
Indirect Charges (72),,190968.8479064319,91561.40460310258,57570.01109833338,45373.14229743204,23633.363901112094,21241.201143457707,16142.458010707893,11256.25727922385,3636.451804216601,156.47034644194,1867.806717967138,407.39159931972597,116.76238044812096,572.162149739372,33.305880003758,27.004110291586002,0.08410188036400003,464564.12533011014
,EC2 - Savings Plan Negation Credits,0,0,0,0,0,0,0,,0,,,,,,,,,0
,RDS - Charged Backup Usage,,,,384.7547167193,,,,,,,1.0575463627000001,,,,,,,385.812263082
,RDS - Other,,,,174.769715226,,,,,,,,,,,,,,174.769715226
,Augmented AI,,,,,1.5699999999999998,,,,,,,,,,,,,1.5699999999999998
,CloudFormation,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0
,CodeArtifact,,,,,,,,,0.00007418980000000002,,,,,,,,,0.00007418980000000002
,Detective,,412.20089504679993,895.0290254216001,128.8726742476,645.4667155963998,,,296.7519666804,235.93876496119998,,,34.0568740056,,,,,,2648.3169159596
,HealthLake,,2390.04,,,4790.610000000001,,,,,,,,,,,,,7180.650000000001
,Amazon Inspector,724.1074790453993,630.3633742109993,287.9696858315,274.73277753389993,711.0553268701001,178.14052133969992,107.81706077700002,342.42818380909944,359.1243788521001,0,,66.31958775670002,0.9816063181000001,,0.6067293832,2.7163770000000005,,3686.3630887277986
,Network Firewall,,293.9458333333,17677.874158113398,16360.240328722099,,,,,,,,,,,,,,34332.06032016879
,Textract,,,,,25.5545,,,,,,,,,,,,,25.5545
,Amazon WorkSpaces Web,,833,301,218,210,,,,,,,,,,,,,1562
,AppSync,,,,,,,,0.0522790014,,,,,,,,,,0.0522790014
,Backup,,55656.27426221741,92.02791809440001,849.4331447531996,2.0550342188,,,0.0033887716000000007,,,,,,,,,,56599.79374805541
,AWS Cloud WAN,,,,,,,4426,,,,,,,,,,,4426
,AWS CloudTrail,974.6872484999999,0,0,0,135.70225999999997,0,0,0,0,,,0,0,,0,,,1110.3895085
,AWS CodeCommit,,,5,,11,,,,11,,,,,,,,,27
,AWS CodePipeline,,,,,,,,,20.544000000000004,,,,,,,,,20.544000000000004
,AWS Compute Optimizer,,,,,7.210980042300001,,,,,,,,,,,,,7.210980042300001
,AWS Config,3733.952,12989.5678,2473.2633000000005,466.3343999999999,3148.1611999999996,750.0710000000001,21.371000000000002,180.06710000000004,161.3083,2.28051,0.68,27.53570000000001,2.547,,1.7309999999999999,0.23432000000000003,,23959.104629999998
,Direct Connect - Data Transfer,,,,,,,20.3076168664,,,,,,,,,,,20.3076168664
,DocumentDB - Other,,,,,495.2430748221001,,,,,,,,,,,,,495.2430748221001
,EC2 Container Service - Savings Plan Negation Credits,,0,0,0,0,,,,,,,,,,,,,0
,EKS - Other,,,0.36904960280000004,,,,,,,,,,,,,,,0.36904960280000004
,FSx - Other,2058.0376121280005,,,,,0.8399211999999999,,,,,,,,,,,,2058.8775333280005
,Glacier - Transfer,0.0000205257,0.000028820699999999993,0.0000702406,0.000026079700000000004,0.0000660801,0.0000211022,0.000027298699999999993,0.00003301500000000001,0.000021753699999999995,0.000026510500000000003,,0.000024448900000000006,0.000022936,,0.00003156149999999999,0.000023191699999999997,,0.000443565
,Glue - Data Catalog,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0
,Glue - Other,,0.4580884,,,37.667146,,,,,,,,,,,,,38.125234400000004
,Lambda - Data Transfer,0.0000015293,0.006574242499999999,0.0027008119,0.0000017906,0.0008370653999999999,0.0000015292000000000001,0.0000017743,0.0000501516,0.0017365468000000001,0.000001495,,0.00008519999999999998,0.0000015037,,0.0000012413,0.0000012456,,0.0119961272
,Lambda - Other,,,,,0.0001866182,,,,,,,,,,,,,0.0001866182
,QuickSight - Other,,,,,,,,70.82950000000001,0,,,,,,,,,70.82950000000001
,Route 53 - Other,,0.4224999999999999,,,0.4874999999999999,0.2932202061,,,0.11700000000000005,,,,,,,,,1.3202202060999997
,Route 53 - Query,15.8965704,79.6077966,,,2.0234855999999994,,7.3006932,,0.2351684,,,,,,,,,105.0637142
,SageMaker - Other,,,,,74.13742405269998,,,,,,,,,,,,,74.13742405269998
,Secrets Manager - API Call,0.027349999999999996,0.06021,0.06999000000000004,0.048754999999999986,0.13698500000000002,0.026740000000000003,0.018660000000000006,0.03626499999999999,0.08333,0.025690000000000004,0.0008650000000000002,0.02668000000000001,0.026355000000000003,,0.026540000000000005,0.0187,,0.6331150000000001
,Secrets Manager - Secret,0.5844085927999999,7.4672042761,10.833333322000001,6.981720421899999,28.960752674499993,0.30161289839999994,0.5473118191999999,,17.129032280199997,0.27634408159999996,0.5037634327999999,0.0333333328,1.4193548160000002,,0.5629032167999999,2.5086021498,,78.10967731489998
,AWS Service Catalog,2.1083999999999996,2.1672,2.2911000000000006,2.0551999999999997,2.2638000000000003,2.0145999999999997,2.1174999999999993,2.6516,2.2932,1.9095999999999995,,1.9733,1.9453,,1.7653999999999999,2.0580000000000003,,29.614199999999993
,Simple Email Service - Data Transfer,,0.122560327,0.0065228783999999995,0.007806672499999999,0.028180882499999997,,,0.15340863329999999,0.0000019384,,,,,,,,,0.3184813321
,Simple Email Service - Dedicated IP,,,181.93548375150002,,,,,,,,,,,,,,,181.93548375150002
,Simple Email Service - Email Message,,293.90245999999996,4.784000000000001,2.8352000000000004,15.366540000000006,,,0.3276,0.0004,,,,,,,,,317.21619999999996
,SQS - API,0.0061992,0.0071588,0.006117999999999999,0.0061976,0.006550800000000001,0.0062628000000000015,0.006370399999999999,0.0088376,0.0062711999999999985,0.0059824,0.0001496,0.006198400000000001,0.006265599999999999,,0.0061248,0.006080399999999999,,0.0907676
,SQS - Data Transfer,,0.0000212978,,,0.00016556139999999994,,,0.0023992972000000004,3.24e-7,,,,,,,,,0.0025864804
